Questions ,Answers
What Is Courses that have 3 Credit hours ? ,"*calculus 

*discrete mathematics 

*Physics 

*Electronics 

*linear algebra 

*differential equations and transformation 

*probability and statistics and statistical analysis 

*numerical computing 

*computer science fundamentals 

*structured programming 

*object oriented programming 

*data structures 

*logic design 

*introduction to information systems  

*system analysis and design 1

*design and analysis of algorithms

*computer architecture 

*introduction to computer networks 

*operating systems 

*Databases1 

*software engineering 1

*microprocessors and assembly language 

*artificial intelligence 

*neural networks 

*information storage and management 

*computer graphics 

*advanced computer networks 

*computer security 

*image processing 

*cloud computing 

*machine learning 

*computer vision 

*Compilers 

*internet of things 

*project 1 

*Project2 

*virtual and augmented reality 

*human-computer interaction 

*computer animation 

*game design and development 

*Multimedia 

*deep learning 

*natural language processing 

*data science 

*knowledge representation 

*digital signal processing

*introduction to embedded systems 

*Robotics 

*logic programming 

*parallel programming 

*web programming 

*mobile application development

*distributed computing 

*software project management 

*open source system development 

*selected topics in computer science1 

*selected topics in computer science2"
what is the Frist level or first grade or first year 1st semester or 1st term,"1.English 1: two theoretical hr. ,two hr. For final exam.

2.Calculus: two theoretical hr. ,two exercise  hr. ,two hr. ,For final exam.

3.Physics: two theoretical hr. ,two practical  hr. ,two hr. For final exam.

4.Computer science fundamental: three practical  hr. ,two exercise hr. ,two hr. For final exam.

5.Structured programming: three practical  hr. ,two theoretical hr. ,two hr. For final exam.

6.Humanities 1: two theoretical hr. ,two hr. For final exam."
what is the Frist level or first grade or first year 2nd semester or 2nd term,"1.Technical writing: two theoretical hr. ,two hr. For final exam.

2.Electronics: two theoretical hr. ,two exercise  hr. ,two hr. For final exam.

3.Discrete mathematics: two theoretical hr. ,two exercise  hr. ,two hr. For final exam.

4.Human rights and the fight against corruption: two theoretical hr. ,two hr. For final exam.

5.Object oriented programming: three practical  hr. ,two theoretical hr. ,two hr. For final exam.

6.Humanities 2: two theoretical hr. ,one exercise  hr. ,two hr. For final exam."
what is the Second level or second grade or second year 1st semester or 1st term,"1.Introduction to information systems: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Data structures: two theoretical hr. ,two practical  hr. ,two For final exam. 

3.Probability and statistics and statistical analysis: two theoretical hr. ,two exercise  hr. ,two hr. For final exam.

4.Logic design: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

5.Linear algebra: two theoretical hr. ,two exercise  hr. ,two hr. For final exam 

6.Database1: two theoretical hr. ,two practical  hr. ,two hr. For final exam. "
what is the Second level or second grade or second year 2nd semester or 2nd term,"1.System Analysis and design1: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Introduction to computer networks: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

3.Design and analysis of algorithms: two, theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.Differential equations and transformation: two theoretical hr. ,two exercise  hr. ,two hr. For final exam. 

5.Computer Architecture: two theoretical hr. ,two exercise  hr. ,one practical  hr. ,two hr. For final exam. "
what is the Third level or third grade or third year 1st semester or 1st term,"1.Operating Systems: two theoretical hr. ,two practical  hr. ,two hr. For final exam.

2.Numerical computing: two theoretical hr. ,two exercise  hr. ,two hr. For final exam. 

3.Artificial intelligence: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.Software Engineering 1: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

5.Microprocessor and assembly language: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

6.Elective subject 1: two theoretical hr. ,two practical  hr. ,two hr. For final exam. "
what is the Third level or third grade or third year 2nd semester or 2nd term,"1.Advanced computer network: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Information storage and management: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

3.Neural network: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.Computer security: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

5.Computer graphics: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

6.Elective subject 2: two theoretical hr. ,two practical  hr. ,two hr. For final exam. "
what is the Fourth level or fourth grade or fourth year 1st semester or 1st term,"1.Image processing: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Cloud computing: two theoretical hr. ,two practical  hr. ,two hr. For final exam.

3.Machine learning: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.Elective subject 3: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

5.Humanities 3: two theoretical hr. ,one exercise hr. ,two hr. For final exam. 

6.Graduation Project 1. 
"
what is the Fourth level or fourth grade or fourth year 2nd semester or 2nd term,"
1.Computer Vision: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Internet of things: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

3.Compliers: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.elective subject 4: two theoretical hr. ,two practical  hr. ,two hr. For final exam.
 
5.Humanities 4: two theoretical hr. ,one exercise hr. ,two hr. For final exam.
 
6.Graduation Project 2 
"
 what is the Prerequisite and code  English (1),"The course “English (1)” with the code “HUM111” and Two credit hours and doesn’t have any prerequisite.
"
what is the Prerequisite and code Human rights and the fight against corruption?,"The course “Human rights and the fight against corruption” with the code “HUM141” and Two credit hours and doesn’t have any prerequisite.
"
 what is the code and Prerequisite Technical writing?,"The course “Technical writing” with the code “HUM112” and Two credit hours , It has a prerequisite : “English (1)” with the code “HUM111” and Two credit hours.
"
what is the code and Prerequisite Calculus?,The course “Calculus” with the code “BSC101” and Three credit hours and doesn’t have any prerequisite.
what is the code and Prerequisite Discrete mathematics?,"The course “Discrete mathematics” with the code “BSC102” and Three credit hours , It has a prerequisite : “Calculus” with the code “BSC101” and Three credit hours.

"
what is the code and Prerequisite Physics?,"The course “Physics” with the code “BSC121” and Three credit hours and doesn’t have any prerequisite.
"
what is the code and Prerequisite Electronics?,"The course “Electronics” with the code “BSC131” and Three credit hours , It has a prerequisite : “Physics” with the code “BSC121” and Three credit hours.

"
 what is the code and Prerequisite Linear algebra?,"The course “Linear algebra” with the code “BSC203” and Three credit hours and doesn’t have any prerequisite.
"
what is the code and Prerequisite Differential equations and transformation ?,"The course “Differential equations and transformation” with the code “BSC204” and Three credit hours , It has a prerequisite : “Calculus” with the code “BSC101” and Three credit hours.
"
 what is the code and Prerequisite Probability and statistics and statistical analysis?,"The course “Probability and statistics and statistical analysis” with the code “BSC212” and Three credit hours and doesn’t have any prerequisite.

"
what is the code and Prerequisite Numerical computing?,"The course “Numerical computing” with the code “BSC305” and Three credit hours and doesn’t have any prerequisite.

"
what is the code and Prerequisite Computer science fundamentals?,"The course “Computer science fundamentals” with the code “CSC101” and Three credit hours and doesn’t have any prerequisite.

"
what is the code and Prerequisite Structured programming?,The course “Structured programming” with the code “CSC141” and Three credit hours and doesn’t have any prerequisite.
what is the code and Prerequisite Object oriented programming?,"The course “Object oriented programming” with the code “CSC142” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.
"
what is the prerequisite and code Data structures?,"The course “Data structures” with the code “CSC211” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.
"
what is the prerequisite and code Logic design?,"The course “Logic design” with the code “CSC221” and Three credit hours , It has a prerequisite : “Electronics” with the code “BSC131” and Three credit hours.
"
 what is the prerequisite and code Introduction to information system?,"The course “Introduction to information system” with the code “CSC201” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours."
 what is the prerequisite and code Introduction to System analysis and design (1)?,"The course “System analysis and design (1)” with the code “CSC232” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours.
"
what is the prerequisite and code Introduction to Design and analysis of algorithms?,"The course “Design and analysis of algorithms” with the code “CSC213” and Three credit hours , It has a prerequisite : “Data structures” with the code “CSC211” and Three credit hours.
"
"what is the prerequisite and code Introduction to Computer architecture?
","The course “Computer architecture” with the code “CSC222” and Three credit hours , It has a prerequisite : “Logic design” with the code “CSC221” and Three credit hours.
"
" what is the prerequisite and code  to Introduction to computer networks?
","The course “Introduction to computer networks” with the code “CSC231” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours.
"
"what is the prerequisite and code  to Operating systems?
","The course “Operating systems” with the code “CSC323” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours."
what is the prerequisite and code Introduction to Databases (1)?,"he course “Databases (1)” with the code “CSC241” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours."
"what is the prerequisite and code to Software engineering (1)?
","The course “Software engineering (1)” with the code “CSC391” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours."
what is the prerequisite and code to Microprocessor and assembly language?,"The course “Microprocessor and assembly language” with the code “CSC324” and Three credit hours , It has a prerequisite : “Computer architecture” with the code “CSC222” and Three credit hours"
what is the prerequisite and code to Artificial intelligence?,"The course “Artificial intelligence” with the code “CSC301” and Three credit hours , It has a prerequisite : “Probability and statistics and statistical analysis” with the code “BSC212” and Three credit hours."
 what is the prerequisite and code to Neural networks?,"The course “Neural networks” with the code “CSC341” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.

"
what is the prerequisite and code to Information storage and management?,"The course “Information storage and management” with the code “CSC312” and Three credit hours , It has a prerequisite : “Introduction to computer networks” with the code “CSC231” and Three credit hours."
 what is the prerequisite and code to Computer graphics?,"The course “Computer graphics” with the code “CSC351” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.

"
what is the prerequisite and code to Advanced computer networks?,"The course “Advanced computer networks” with the code “CSC332” and Three credit hours , It has a prerequisite : “Introduction to computer networks” with the code “CSC231” and Three credit hours."
what is the  prerequisite and code Computer security,"The course “Computer security” with the code “CSC371” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours.
"
what is the  prerequisite and code Image processing?,"The course “Image processing” with the code “CSC452” and Three credit hours , It has a prerequisite : “Linear algebra” with the code “BSC203” and Three credit hours.

"
what is the  prerequisite and code Machine learning?,"The course “Machine learning” with the code “CSC411” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.

"
what is the  prerequisite and code Computer vision?,"The course “Computer vision” with the code “CSC453” and Three credit hours , It has a prerequisite : “Linear algebra” with the code “BSC203” and Three credit hours.

"
what is the  prerequisite and code Compilers?,"The course “Compilers” with the code “CSC443” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours.

"
what is the  prerequisite and code Internet of things?,"The course “Internet of things” with the code “CSC434” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.

"
what is the  prerequisite and code Project (1)?,"The course “Project (1)” with the code “CSC498” and Three credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Project (2)?,"The course “Project (2)” with the code “CSC499” and Three credit hours and doesn’t have any prerequisite.



"
what is the  prerequisite and code Communication and presentation skills?,"The course “Communication and presentation skills” with the code “HUN113” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Marketing and sales?,"The course “Marketing and sales” with the code “HUN131” and Two credit hours and doesn’t have any prerequisite.
"
what is the  prerequisite and code Organizational behavior?,"The course “Organizational behavior” with the code “HUN121” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code History of computing?,"The course “History of computing” with the code “HUN151” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Professional ethics?,"The course “Professional ethics” with the code “HUN113” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code English (2)?,"The course “English (2)” with the code “HUM114” and Two credit hours , It has a prerequisite : “English (1)” with the code “HUM111” and Two credit hours.
"
what is the  prerequisite and code Business administration?,"The course “Business administration” with the code “HUN132” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Fundamentals of economics?,"The course “Fundamentals of economics” with the code “HUN133” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Virtual and augmented reality?,"The course “Virtual and augmented reality” with the code “CSC454” and Three credit hours , It has a prerequisite : “Computer graphics” with the code “CSC351” and Three credit hours.
"
what is the  prerequisite and code Human-computer interaction?,"The course “Human-computer interaction” with the code “CSC455” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours.

"
what is the  prerequisite and code Computer animation?,"The course “Computer animation” with the code “CSC456” and Three credit hours , It has a prerequisite : “Computer graphics” with the code “CSC351” and Three credit hours.

"
what is the  prerequisite and code Game design and development?,"The course “Game design and development” with the code “CSC457” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours.

"
what is the  prerequisite and code Multimedia?,"The course “Multimedia” with the code “CSC458” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours.

"
what is the  prerequisite and code Deep learning?,"The course “Deep learning” with the code “CSC342” and Three credit hours , It has a prerequisite : “Neural networks” with the code “CSC341” and Three credit hours.

"
what is the  prerequisite and code Natural language processing?,"The course “Natural language processing” with the code “CSC352” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.
"
what is the  prerequisite and code Data science ?,"The course “Data science” with the code “CSC461” and Three credit hours , It has a prerequisite : “Data structures” with the code “CSC211” and Three credit hours.
"
what is the  prerequisite and code Knowledge representation ?,"The course “Knowledge representation” with the code “CSC325” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.
"
what is the  prerequisite and code Digital signal processing ?,"The course “Digital signal processing” with the code “CSC325” and Three credit hours , It has a prerequisite : “Differential equations and transformation” with the code “BSC204” and Three credit hours.

"
what is the  prerequisite and code Introduction to embedded systems?,"The course “Introduction to embedded systems” with the code “CSC462” and Three credit hours , It has a prerequisite : “Microprocessor and assembly language” with the code “CSC324” and Three credit hours.

"
what is the  prerequisite and code Robotics?,"The course “Robotics” with the code “CSC431” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.

"
what is the  prerequisite and code Logic programming?,"The course “Logic programming” with the code “CSC344” and Three credit hours , It has a prerequisite : “Object oriented programming” with the code “CSC142” and Three credit hours.

"
what is the  prerequisite and code Parallel programming?,"The course “Parallel programming” with the code “CSC345” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours."
what is the  prerequisite and code Web programming?,"The course “Web programming” with the code “CSC446” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.

"
what is the  prerequisite and code Mobile application development?,"The course “Mobile application development” with the code “CSC347” and Three credit hours , It has a prerequisite : “Object oriented programming” with the code “CSC142” and Three credit hours."
what is the  prerequisite and code Distributed computing?,"The course “Distributed computing” with the code “CSC461” and Three credit hours , It has a prerequisite : “Operating systems” with the code “CSC323” and Three credit hours.
"
what is the  prerequisite and code Software project management?,"The course “Software project management” with the code “CSC421” and Three credit hours , It has a prerequisite : “System analysis and design (1)” with the code “CSC232” and Three credit hours.

"
what is the  prerequisite and code Open source system development?,"The course “Open source system development” with the code “CSC448” and Three credit hours , It has a prerequisite : “Object oriented programming” with the code “CSC142” and Three credit hours"
what is the  prerequisite and code Selected topics in computer science (1)?,"The course “Selected topics in computer science (1)” with the code “CSC302” and Three credit hours and doesn’t have any prerequisite.
"
what is the  prerequisite and code Selected topics in computer science (2)?,"The course “Selected topics in computer science (2)” with the code “CSC403” and Three credit hours and doesn’t have any prerequisite.

"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
